trade_date,top_n,cash,holdings_value,equity,turnover,gross_return,net_return,cost,benchmark_return
20231016,10,1.7462298274040222e-10,879413.0912442352,879413.0912442354,1.9897830366867872,-0.018749668402346042,-0.021238141434720692,2235.881734384697,-0.01004888777954005
20231017,10,1.550963648536927e-25,880324.1467297567,880324.1467297567,1.496120937119595e-15,0.0010359812636315802,0.0010359812636315802,1.558102982855683e-12,0.0035307477764554562
20231018,10,-3.4438311059246704e-41,858667.3720153733,858667.3720153733,1.8345566962414146e-31,-0.024600909556819928,-0.024600909556819928,1.2438958214498676e-28,-0.00792028514136578
20231019,10,-3.3444085560134453e-41,858789.4348135535,858789.4348135535,1.1599001852736342e-48,0.00014215376309656413,0.00014215376309656413,1.7429447768058482e-45,-0.021335151251599238
20231020,10,-3.3444085560134453e-41,845323.4722158166,845323.4722158166,0.0,-0.015680167980478665,-0.015680167980478665,0.0,-0.006496479667936761
20231023,10,1.4551915228366852e-10,817845.3290773992,817845.3290773993,1.987002221893945,-0.03002107375249974,-0.032506069027504636,2100.624834307069,-0.010352992342680722
20231024,10,-1.550963648536927e-25,840659.6710620706,840659.6710620706,1.8939459108844222e-15,0.027895668256010975,0.027895668256010975,1.8643661278496726e-12,0.0037091236947734973
20231025,10,-4.885164691645561e-27,848255.4473209005,848255.4473209005,1.7899577649594452e-31,0.009035495005051741,0.009035495005051741,2.6333042853351607e-28,0.004968956995067275
20231026,10,-4.885164691645561e-27,839742.3980041989,839742.3980041989,0.0,-0.010035950070923727,-0.010035950070923727,0.0,0.0027642508786522857
20231027,10,-4.885164691645561e-27,863533.9892253865,863533.9892253865,0.0,0.028332011433187976,0.028332011433187976,0.0,0.013727465072014056
20231030,10,1.1641532182693481e-10,876198.8776557982,876198.8776557983,1.987856712315794,0.017152410109577243,0.014666346187221402,2146.8006963413195,0.006003477838485205
20231031,10,0.0,869067.5140404548,869067.5140404548,2.2354075218103106e-15,-0.008138978258478202,-0.008138978258478202,2.3913149487027892e-12,-0.003143671145579119
20231101,10,0.0,885295.0110721989,885295.0110721989,0.0,0.018672308847789587,0.018672308847789587,0.0,-0.0004139391691926342
20231102,10,0.0,877455.2693951585,877455.2693951585,0.0,-0.008855513223264944,-0.008855513223264944,0.0,-0.004715142434663311
20231103,10,0.0,894628.9247937948,894628.9247937948,0.0,0.019572114952907338,0.019572114952907338,0.0,0.008425973082072158
20231106,10,-2.9103830456733704e-11,927535.8930901035,927535.8930901035,2.010857005868369,0.03929764150537607,0.03678281283370488,2249.8384705779,0.013524038873074185
20231107,10,2.5849394142282115e-25,944756.8104111456,944756.8104111456,2.3216432958343646e-15,0.01856630826831962,0.01856630826831962,2.707665107580129e-12,-0.0035371552848911803
20231108,10,-1.1479437019748901e-41,947671.3402958066,947671.3402958066,2.734039208970792e-31,0.0030849525005198775,0.0030849525005198775,1.9372516219546925e-28,-0.0023998833292590005
20231109,10,-1.1479437019748901e-41,938712.4984321826,938712.4984321826,0.0,-0.00945353255151482,-0.00945353255151482,0.0,0.00048572829738136036
20231110,10,-1.1479437019748901e-41,921497.3337663887,921497.3337663887,0.0,-0.01833912374081126,-0.01833912374081126,0.0,-0.007289860572593843
20231113,10,8.731149137020111e-11,945250.5386727224,945250.5386727225,2.0240896112446416,0.028308126083988805,0.02577674838108157,2332.6578039847222,-0.0019727369603472766
20231114,10,0.0,943180.1705836155,943180.1705836155,2.495798409918163e-15,-0.0021902850137637264,-0.0021902850137637264,2.9067411141140414e-12,0.0007387521885215964
20231115,10,3.4438311059246704e-41,964102.3739972874,964102.3739972874,5.5947537493441815e-31,0.02218261586301762,0.02218261586301762,6.599375682440933e-28,0.007031431983353542
20231116,10,6.372367644529809e-58,949151.6118257378,949151.6118257378,3.5693825273249754e-47,-0.015507442544262062,-0.015507442544262062,2.5809376262238346e-44,-0.009669788476270536
20231117,10,1.0612123920500054e-73,963886.8838379243,963886.8838379243,6.708719525133103e-64,0.015524676804628212,0.015524676804628212,4.775693962925163e-61,-0.001202453019836347
20231120,10,1.1641532182693481e-10,964251.5522506342,964251.5522506343,2.002874277736449,0.002883176398514209,0.00037833112870866437,2414.3875016089537,0.0023135206064570646
20231121,10,2.5849394142282115e-25,968236.1930971614,968236.1930971614,2.693923481709649e-15,0.00413236653571003,0.00413236653571003,3.1904124188996857e-12,0.0013265299588547386
20231122,10,0.0,971604.6059505556,971604.6059505556,8.239868935813193e-31,0.003478916484850103,0.003478916484850103,8.684546728789443e-28,-0.010234713817450003
20231123,10,-2.5489470578119236e-57,985304.6766301797,985304.6766301797,7.022996195257e-47,0.014100458762462242,0.014100458762462242,8.533736181697009e-44,0.004825674817759751
20231124,10,-1.851237446038465e-57,981210.5905561385,981210.5905561385,7.093569741960392e-64,-0.00415514730737232,-0.00415514730737232,1.2231323021322848e-60,-0.006601590713898431
20231127,10,-5.820766091346741e-11,988197.7253539634,988197.7253539634,1.990106763859054,0.00960981081589174,0.007120932922120904,2442.11334796887,-0.0073675059080550165
20231128,10,0.0,1006900.7403080224,1006900.7403080224,2.7010926532955364e-15,0.01892638939981328,0.01892638939981328,3.3673045026542503e-12,0.0018738348328264376
20231129,10,0.0,999246.2319798729,999246.2319798729,1.065172271629904e-30,-0.007602048565192088,-0.007602048565192088,1.3413240981237222e-27,-0.008587665415990431
20231130,10,2.5489470578119236e-57,1012526.8784404243,1012526.8784404243,6.805934553644219e-47,0.01329066453844674,0.01329066453844674,8.505258201388948e-44,0.002263418707405762
